id,author
1172,Achal Dave
1173,Rebecca Roelofs
1174,Deva Ramanan
1175,Benjamin Recht
1176,Ludwig Schmidt
1177,L. Elisa Celis
1178,Vijay Keswani
1179,Ozan Yildiz
1180,Nisheeth K. Vishnoi
1181,Matthew R. Kirchner
1182,Daniel L. Marino
1183,Milos Manic
1184,Andrea Zanette
1185,Emma Brunskill
1186,Oscar Thörn
1187,Peter Fögel
1188,Peter Knudsen
1189,Luis de Miranda
1190,Alessandro Saffiotti
1191,Afshin Sadeghi
1192,Damien Graux
1193,Jens Lehmann
1194,Katarzyna Kapusta
1195,Gerard Memmi
1196,Matthieu Rambaud
1197,Karoliina Lehtinen
1198,Sven Schewe
1199,Dominik Wojtczak
1200,Friso H. Kingma
1201,Pieter Abbeel
1202,Jonathan Ho
